NCTId,BriefTitle,OverallStatus,Facility,City,State,Zip,Country,SiteStatus
NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",RECRUITING,Fred Hutchinson Cancer Center,Seattle,Washington,98109,United States,RECRUITING
NCT06961669,"Intravenous Autologous CD19 CAR-T Cells for R/ R MM, B-ALL, and B-Cell Lymphoma",RECRUITING,The First Affiliated Hospital of University of Science and Technology of China,Hefei,,,China,RECRUITING
NCT04928105,Senl-T7 CAR-T Cells for Treatment of Relapsed or Refractory CD7+ Lymphoma,UNKNOWN,Hebei yanda Ludaopei Hospital,Yanda,Hebei,,China,RECRUITING
NCT02588456,Pilot Study of Autologous Anti-CD22 Chimeric Antigen Receptor Redirected T Cells In Patients With Chemotherapy Resistant Or Refractory Acute Lymphoblastic Leukemia,TERMINATED,Abramson Cancer Center of the University of Pennsylvania,Philadelphia,Pennsylvania,19104,United States,
NCT06695013,Immunobridging/Maintenance Therapy Versus Non-bridging Therapy in CAR-T Therapy for Low-risk R/R B-NHL,RECRUITING,Ruijin,Shanghai,Shanghai Municipality,,China,RECRUITING
NCT07361094,Autologous CD19/BCMA Dual-Target CAR-T for Relapsed/Refractory Autoimmune Diseases,RECRUITING,Beijing GoBroad Boren Hospital,Beijing,,100070,China,RECRUITING
NCT03680677,Frailty Phenotype Assessments to Optimize Treatment Strategies for Older Patients With Hematologic Malignancies,RECRUITING,Abramson Cancer Center of the University of Pennsylvania,Philadelphia,Pennsylvania,19104,United States,RECRUITING
NCT04430530,4SCAR-T Therapy Post CD19-targeted Immunotherapy,UNKNOWN,Shenzhen Children's Hospital,Shenzhen,Guangdong,518000,China,RECRUITING
NCT04430530,4SCAR-T Therapy Post CD19-targeted Immunotherapy,UNKNOWN,"The Seventh Affilliated Hospital, Sun Yat-Sen University",Shenzhen,Guangdong,518107,China,RECRUITING
NCT04430530,4SCAR-T Therapy Post CD19-targeted Immunotherapy,UNKNOWN,Shijiazhuang Zhongxi Children Hospital,Shijiazhuang,Hebei,,China,RECRUITING
NCT06010862,Clinical Study of CEA-targeted CAR-T Therapy for CEA-positive Advanced/Metastatic Malignant Solid Tumors,RECRUITING,The First Affiliated Hospital of Nanchang University,Nanchang,Jiangxi,,China,RECRUITING
NCT06158139,Autologous CAR-T Cells Targeting B7-H3 in PDAC,RECRUITING,University of North Carolina at Chapel Hill Lineberger Comprehensive Cancer Center,Chapel Hill,North Carolina,27599,United States,RECRUITING
NCT04276870,Orphan Indications for CD19 Redirected Autologous T Cells,RECRUITING,Children's Hospital of Philadelphia,Philadelphia,Pennsylvania,19104,United States,RECRUITING
NCT03896854,CART-19 T Cell in CD19 Positive Relapsed or Refractory Acute Myeloid Leukemia (AML),UNKNOWN,The First Affiliated Hospital of Soochow University,Suzhou,Jiangsu,215000,China,RECRUITING
NCT07528105,Allogeneic Anti-CD7 CAR-T for Type 1 Diabetes,RECRUITING,"Zhongshan Hospital, Fudan University",Shanghai,,201508,China,RECRUITING
NCT06787560,CD7 CAR-T Cell Sequential Allo-HSCT for Non-malignant Blood and Immune System Diseases,RECRUITING,The first affiliated hospital of medical college of zhejiang university,Hangzhou,Zhejiang,310003,China,RECRUITING
NCT07059741,Integrated Radiotherapy-optimized ASCT Sequential CAR-T Therapy for Patients With Relapsed and Refractory B-NHL,RECRUITING,the First Affiliated Hospital of Soochow University,Suzhou,Jiangsu,215006,China,RECRUITING
NCT06857786,Postoperative Adjuvant Therapy for CT041 Gastric or Gastroesophageal Junction (G/GEJ) Adenocarcinoma Patients,NOT_YET_RECRUITING,Beijing Cancer Hospital,Beijing,Beijing Municipality,100142,China,
NCT06857786,Postoperative Adjuvant Therapy for CT041 Gastric or Gastroesophageal Junction (G/GEJ) Adenocarcinoma Patients,NOT_YET_RECRUITING,Beijing Gaobo Hospital,Beijing,Beijing Municipality,100142,China,
NCT06857786,Postoperative Adjuvant Therapy for CT041 Gastric or Gastroesophageal Junction (G/GEJ) Adenocarcinoma Patients,NOT_YET_RECRUITING,Nanjing Gulou Hospital,Nanjing,Jiangsu,,China,
NCT06963866,Comparing ASCT Followed by Anti-BCMA CAR-T vs. ASCT Alone in NDMM Patients Eligible for ASCT,NOT_YET_RECRUITING,The Affiliated Hospital oh Xuzhou Medical University,Xuzhou,Jiangsu,221006,China,
NCT04136756,NKTR-255 in Relapsed/Refractory Multiple Myeloma & Non-Hodgkin Lymphoma,COMPLETED,Western Regional Medical Center - CTCA,Goodyear,Arizona,85338,United States,
NCT04136756,NKTR-255 in Relapsed/Refractory Multiple Myeloma & Non-Hodgkin Lymphoma,COMPLETED,City of Hope,Duarte,California,91010,United States,
NCT04136756,NKTR-255 in Relapsed/Refractory Multiple Myeloma & Non-Hodgkin Lymphoma,COMPLETED,"University of California, San Francisco",San Francisco,California,94143,United States,
NCT04136756,NKTR-255 in Relapsed/Refractory Multiple Myeloma & Non-Hodgkin Lymphoma,COMPLETED,H. Lee Moffitt Cancer Center and Research Institute,Tampa,Florida,33612,United States,
NCT04136756,NKTR-255 in Relapsed/Refractory Multiple Myeloma & Non-Hodgkin Lymphoma,COMPLETED,"Winship Cancer Institute, Emory University",Atlanta,Georgia,30322,United States,
NCT04136756,NKTR-255 in Relapsed/Refractory Multiple Myeloma & Non-Hodgkin Lymphoma,COMPLETED,University of Michigan,Ann Arbor,Michigan,48109,United States,
NCT04136756,NKTR-255 in Relapsed/Refractory Multiple Myeloma & Non-Hodgkin Lymphoma,COMPLETED,University of Minnesota,Minneapolis,Minnesota,55455,United States,
NCT04136756,NKTR-255 in Relapsed/Refractory Multiple Myeloma & Non-Hodgkin Lymphoma,COMPLETED,Memorial Sloan Kettering Cancer Center,New York,New York,10065,United States,
NCT04136756,NKTR-255 in Relapsed/Refractory Multiple Myeloma & Non-Hodgkin Lymphoma,COMPLETED,New York Medical College,Valhalla,New York,10595,United States,
NCT04136756,NKTR-255 in Relapsed/Refractory Multiple Myeloma & Non-Hodgkin Lymphoma,COMPLETED,Duke University Health System,Durham,North Carolina,27705,United States,
NCT04136756,NKTR-255 in Relapsed/Refractory Multiple Myeloma & Non-Hodgkin Lymphoma,COMPLETED,MD Anderson Cancer Center,Houston,Texas,77030,United States,
NCT04136756,NKTR-255 in Relapsed/Refractory Multiple Myeloma & Non-Hodgkin Lymphoma,COMPLETED,Virginia Cancer Specialists,Fairfax,Virginia,22031,United States,
NCT04136756,NKTR-255 in Relapsed/Refractory Multiple Myeloma & Non-Hodgkin Lymphoma,COMPLETED,University of Washington,Seattle,Washington,98109,United States,
NCT07143929,To Observe the CD7-targeted CAR-T Therapy in the Treatment of r/r PTCL,RECRUITING,Peking University People's Hospital,Beijing,,,China,RECRUITING
NCT03182803,CTLA-4 and PD-1 Antibodies Expressing Mesothelin-CAR-T Cells for Mesothelin Positive Advanced Solid Tumor,UNKNOWN,Ningbo No.5 Hospital (Ningbo Cancer Hospital),Ningbo,Zhejiang,315201,China,RECRUITING
NCT06333483,"Obe-cel in Adolescent [Applicable in UK Only] and Adult Severe, Refractory Systemic Lupus Erythematosus",RECRUITING,Hospital Universitari Vall Hebrón,Barcelona,,08035,Spain,RECRUITING
NCT06333483,"Obe-cel in Adolescent [Applicable in UK Only] and Adult Severe, Refractory Systemic Lupus Erythematosus",RECRUITING,Hospital Universitari i Politecnic La Fe,Valencia,,106046026,Spain,RECRUITING
NCT06333483,"Obe-cel in Adolescent [Applicable in UK Only] and Adult Severe, Refractory Systemic Lupus Erythematosus",RECRUITING,Addenbrookes Hospital,Cambridge,,CB2 0QQ,United Kingdom,RECRUITING
NCT06333483,"Obe-cel in Adolescent [Applicable in UK Only] and Adult Severe, Refractory Systemic Lupus Erythematosus",RECRUITING,University College London Hospitals NHS Foundation Trust,London,,NW1 2PG,United Kingdom,RECRUITING
NCT06333483,"Obe-cel in Adolescent [Applicable in UK Only] and Adult Severe, Refractory Systemic Lupus Erythematosus",RECRUITING,Great Ormond Street Hospital,London,,WC1N 3JH,United Kingdom,RECRUITING
